,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
289,290,https://www.goodreads.com/book/show/62991521-lace-vengeance,Lace Vengeance,Eve Dangerfield,Reverse Harem,English,4.16,554,"May 9, 2023",336,71,842
290,290,https://www.goodreads.com/book/show/61492433-four-found-dead,Four Found Dead,Natalie D. Richards,Thriller,English,3.45,"8,157","May 2, 2023",321,390,24.1k
291,290,https://www.goodreads.com/book/show/121486401-les-petites-morts,Les Petites Morts: An Anthology of Dark Fairy Tales and Folklore,Evelyn Freeling,Horror,English,3.48,46,"June 1, 2023",198,9,522
292,293,https://www.goodreads.com/book/show/111172379-right-man-right-time,"Right Man, Right Time",Meghan Quinn,Sports,English,4.11,"86,474","March 7, 2023",467,12.7k,"1,751"
293,293,https://www.goodreads.com/book/show/62984900-those-empty-eyes,Those Empty Eyes,Charlie Donlea,Thriller,English,4.18,"49,843","March 28, 2023",368,"8,692",104k
294,295,https://www.goodreads.com/book/show/61430684-wilder-at-last,Wilder at Last,Serena Bell,Romance,English,3.97,894,"February 7, 2023",300,61,"4,186"
295,295,https://www.goodreads.com/book/show/123206298-murtagh,Murtagh,Christopher Paolini,Fantasy,English,4.15,"33,559","November 7, 2023",688,"6,628",57.3k
296,297,https://www.goodreads.com/book/show/61030725-the-cabinet-of-dr-leng,The Cabinet of Dr. Leng,Douglas Preston,Mystery,English,4.28,"14,230","January 17, 2023",400,"1,750",15.6k
297,297,https://www.goodreads.com/book/show/85164835-nero,Nero,S.J. Tilly,Romance,English,3.87,"61,784","March 16, 2023",368,"8,581",42.6k
298,297,https://www.goodreads.com/book/show/62898932-penance,Penance,Eliza Clark,Fiction,N/A,3.88,"29,364","July 4, 2023",336,"1,943",79.4k
299,297,https://www.goodreads.com/book/show/145937508-pearl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,301,https://www.goodreads.com/book/show/61389548-dear-medusa,Dear Medusa,Olivia A. Cole,Poetry,English,4.29,"3,001","March 14, 2023",384,129,"8,767"
301,302,https://www.goodreads.com/book/show/124943221-king-of-greed,King of Greed,Ana Huang,Romance,English,3.91,"203,817","October 24, 2023",352,13.2k,213k
302,303,https://www.goodreads.com/book/show/60604163-the-mitford-affair,The Mitford Affair,Marie Benedict,Historical Fiction,English,3.70,"15,553","January 17, 2023",352,"3,494",42.2k
303,303,https://www.goodreads.com/book/show/61797464-meet-me-at-the-lake,Meet Me at the Lake,Carley Fortune,Romance,English,3.69,"276,991","May 2, 2023",336,12k,296k
304,305,https://www.goodreads.com/book/show/61346131-house-of-odysseus,House of Odysseus,Claire North,Mythology,English,4.19,"3,076","August 22, 2023",432,272,16.2k
305,305,https://www.goodreads.com/book/show/61030513-6-times-we-almost-kissed-and-one-time-we-did,6 Times We Almost Kissed [and One Time We Did],Tess Sharpe,Romance,English,4.18,"10,047","January 24, 2023",384,481,21.9k
306,307,https://www.goodreads.com/book/show/68280385-escape-the-reaper,Escape the Reaper,Ashley N. Rostek,Reverse Harem,English,4.43,"2,845","Published May 31, 2023",368,439,"2,015"
307,307,https://www.goodreads.com/book/show/61030718-liar-dreamer-thief,"Liar, Dreamer, Thief",Maria Dong,Mystery,English,3.59,"2,700","January 10, 2023",325,182,25.9k
308,307,https://www.goodreads.com/book/show/62673108-the-making-of-another-major-motion-picture-masterpiece,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Fiction,English,3.69,"16,503","May 9, 2023",448,"3,517",32.7k
309,310,https://www.goodreads.com/book/show/65137920-the-lost-bookshop,The Lost Bookshop,Evie Woods,Fantasy,English,4.06,"198,237","June 22, 2023",432,"7,873",20.7k
310,311,https://www.goodreads.com/book/show/60487672-a-realm-of-ash-and-shadow,A Realm of Ash and Shadow,Lara Buckheit,Fantasy,English,3.75,349,"April 11, 2023",390,30,"2,692"
311,311,https://www.goodreads.com/book/show/61846157-beauty-so-golden,Beauty So Golden,Lilith Vincent,Reverse Harem,English,3.83,905,"January 27, 2023",223,191,"1,746"
312,311,https://www.goodreads.com/book/show/60877625-seven-percent-of-ro-devereux,Seven Percent of Ro Devereux,Ellen O'Clover,Romance,English,3.84,"2,964","January 17, 2023",320,65,11.5k
313,314,https://www.goodreads.com/book/show/58975192-a-killing-of-innocents,A Killing of Innocents,Deborah Crombie,Mystery,English,4.24,"5,710","February 7, 2023",368,406,"4,126"
314,314,https://www.goodreads.com/book/show/62196148-the-ruthless-fae-king,The Ruthless Fae King,Leia Stone,Fantasy,English,4.14,"8,797","April 29, 2023",342,"1,843",15k
315,314,https://www.goodreads.com/book/show/62919793-the-invisible-hour,The Invisible Hour,Alice Hoffman,Fiction,English,3.60,"38,377","August 15, 2023",272,"2,277",129k
316,317,https://www.goodreads.com/book/show/61031431-the-mysterious-case-of-the-alperton-angels,The Mysterious Case of the Alperton Angels,Janice Hallett,Mystery,English,3.93,"22,844","September 14, 2023",528,"1,473",58.9k
317,317,https://www.goodreads.com/book/show/199058046-dom,Dom,S.J. Tilly,Romance,English,4.28,"40,928","September 21, 2023",445,"3,805",25.3k
318,317,https://www.goodreads.com/book/show/29237226-saga-volume-11,"Saga, Volume 11",Brian K. Vaughan,Graphic Novels,English,4.25,"7,760","November 29, 2023",153,160,"5,150"
319,320,https://www.goodreads.com/book/show/74965693-something-is-killing-the-children-28,Something is Killing the Children #28,James Tynion IV,Comics,English,4.31,274,"January 11, 2023",25,9,149
320,321,https://www.goodreads.com/book/show/65002893-how-not-to-date-a-demon,How Not to Date a Demon,Lana Kole,Romance,English,3.57,"1,846","January 7, 2023",163,186,"3,905"
321,321,https://www.goodreads.com/book/show/63882992-burn-butterfly-burn,Burn Butterfly Burn,Reese Rivers,Reverse Harem,English,4.18,"15,915","January 30, 2023",396,"1,690","3,822"
322,323,https://www.goodreads.com/book/show/61419667-the-home-for-wayward-girls,The Home for Wayward Girls,Marcia Bradley,Fiction,English,3.48,"1,011","April 4, 2023",288,89,"9,590"
323,323,https://www.goodreads.com/book/show/61185028-the-temple-of-fortuna,The Temple of Fortuna,Elodie Harper,Historical Fiction,English,4.38,"9,477","November 23, 2023",384,426,22.8k
324,325,https://www.goodreads.com/book/show/123368729-slaying-the-vampire-conqueror,Slaying the Vampire Conqueror,Carissa Broadbent,Fantasy,English,4.09,"28,240","April 27, 2023",452,"3,453",93.4k
325,326,https://www.goodreads.com/book/show/60864864-her-father-s-daughter,Her Father's Daughter,T.M. Dunn,Thriller,English,3.72,410,"July 18, 2023",272,17,670
326,326,https://www.goodreads.com/book/show/63249462-those-we-thought-we-knew,Those We Thought We Knew,David Joy,Fiction,English,4.30,"2,830","August 1, 2023",400,217,"9,631"
327,328,https://www.goodreads.com/book/show/61812425-paris,Paris: The Memoir,Paris Hilton,Audiobook,English,4.21,"72,060","March 14, 2023",336,"3,478",58.5k
328,328,https://www.goodreads.com/book/show/62039324-shy,Shy,Max Porter,Fiction,English,3.62,"7,948","April 6, 2023",136,315,19.8k
329,328,https://www.goodreads.com/book/show/59903149-strong-female-character,Strong Female Character,Fern Brady,Nonfiction,English,4.46,"28,883","February 14, 2023",288,"1,506",50k
330,328,https://www.goodreads.com/book/show/63251778-the-heat-will-kill-you-first,The Heat Will Kill You First: Life and Death on a Scorched Planet,Jeff Goodell,Nonfiction,English,4.31,"6,780","July 11, 2023",400,"1,128",18.6k
331,332,https://www.goodreads.com/book/show/60864057-phaedra,Phaedra,Laura Shepperson,Mythology,English,3.33,"4,002","January 10, 2023",400,258,15.7k
332,332,https://www.goodreads.com/book/show/60839741-bad-cree,Bad Cree,Jessica Johns,Horror,English,3.92,"15,570","January 10, 2023",259,840,40.3k
333,334,https://www.goodreads.com/book/show/112144609-hockey-with-benefits,Hockey With Benefits,Tijan,Sports Romance,English,4.07,"9,274","March 7, 2023",446,"2,145","6,324"
334,334,https://www.goodreads.com/book/show/123157760-how-to-think-like-a-woman,How to Think Like a Woman: Four Women Philosophers Who Taught Me How to Love the Life of the Mind,Regan Penaluna,Nonfiction,N/A,3.95,"1,266","March 14, 2023",9,264,"9,175"
335,336,https://www.goodreads.com/book/show/60784727-ordinary-notes,Ordinary Notes,Christina Sharpe,Nonfiction,English,4.54,"1,357","April 25, 2023",392,247,14.2k
336,336,https://www.goodreads.com/book/show/58313993-this-bird-has-flown,This Bird Has Flown,Susanna Hoffs,Romance,English,3.16,"8,326","April 4, 2023",368,846,21.6k
337,338,https://www.goodreads.com/book/show/58469344-the-davenports,The Davenports,Krystal Marquis,Historical Fiction,English,3.67,"12,567","January 31, 2023",384,"1,343",64.3k
338,339,https://www.goodreads.com/book/show/61437908-murder-book,Murder Book,Thomas Perry,Mystery,English,3.86,"3,675","January 17, 2023",420,440,"2,041"
339,339,https://www.goodreads.com/book/show/62921348-the-five-star-weekend,The Five-Star Weekend,Elin Hilderbrand,Fiction,English,4.03,"250,705","June 13, 2023",400,15.1k,215k
340,341,https://www.goodreads.com/book/show/63340978-a-shadow-in-moscow,A Shadow in Moscow,Katherine Reay,Historical Fiction,English,4.34,"3,707","June 13, 2023",384,296,10.8k
341,341,https://www.goodreads.com/book/show/61160671-grim-and-bear-it,Grim and Bear It,Juliette Cross,Romance,English,4.16,"8,962","May 9, 2023",364,661,"9,087"
342,341,https://www.goodreads.com/book/show/61266478-backpacking-through-bedlam,Backpacking Through Bedlam,Seanan McGuire,Urban Fantasy,English,4.27,"2,165","March 7, 2023",352,174,"3,321"
343,341,https://www.goodreads.com/book/show/61913607-the-bride-wore-white,The Bride Wore White,Amanda Quick,Romance,English,4.17,"4,310","May 2, 2023",320,457,"1,209"
344,341,https://www.goodreads.com/book/show/75860045-the-reunion,The Reunion,Kayla Olson,Romance,English,3.49,"13,315","January 17, 2023",313,285,19.2k
345,346,https://www.goodreads.com/book/show/75648835-cookies-for-my-orc-neighbor,Cookies for My Orc Neighbor,Michele Mills,Romance,English,3.77,"4,675","February 6, 2023",84,892,"3,259"
346,346,https://www.goodreads.com/book/show/144359071-doppelganger,Doppelganger: A Trip Into the Mirror World,Naomi Klein,Nonfiction,English,4.21,"22,049","September 12, 2023",416,"6,206",82k
347,348,https://www.goodreads.com/book/show/61387386-chlorine,Chlorine,Jade Song,Horror,English,3.70,"14,476","March 28, 2023",256,681,57k
348,349,https://www.goodreads.com/book/show/63946906-mother-tongue,Mother Tongue: The Surprising History of Women's Words,Jenni Nuttall,Nonfiction,English,3.81,840,"August 29, 2023",292,208,12.8k
349,350,https://www.goodreads.com/book/show/63876551-on-our-best-behavior,On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,Elise Loehnen,Nonfiction,English,3.78,"8,202","May 23, 2023",384,"2,419",62.7k
350,351,https://www.goodreads.com/book/show/60756588-code-name-sapphire,Code Name Sapphire,Pam Jenoff,Historical Fiction,English,3.87,"18,573","February 7, 2023",368,"1,275",32.7k
351,351,https://www.goodreads.com/book/show/123163147-the-future,The Future,Naomi Alderman,Fiction,English,3.85,"18,595","November 7, 2023",432,"1,723",90.5k
352,353,https://www.goodreads.com/book/show/60784417-red-team-blues,Red Team Blues,Cory Doctorow,Fiction,English,3.89,"3,908","April 25, 2023",213,339,"8,401"
353,354,https://www.goodreads.com/book/show/62039258-sing-her-down,Sing Her Down,Ivy Pochoda,Thriller,English,3.18,"2,078","May 23, 2023",288,369,13.3k
354,354,https://www.goodreads.com/book/show/61897971-the-quiet-tenant,The Quiet Tenant,Clémence Michallon,Thriller,English,3.83,"108,746","June 20, 2023",303,"4,440",216k
355,356,https://www.goodreads.com/book/show/61530932-the-nanny,The Nanny,Lana Ferguson,Romance,English,3.56,"106,016","April 11, 2023",421,"5,192",129k
356,356,https://www.goodreads.com/book/show/61987507-cassandra-in-reverse,Cassandra in Reverse,Holly Smale,Fiction,English,3.56,"47,731","June 6, 2023",362,"3,352",58.5k
357,358,https://www.goodreads.com/book/show/59823055-cursed-bread,Cursed Bread,Sophie Mackintosh,Historical Fiction,English,3.28,"8,936","March 2, 2023",184,607,31.5k
358,358,https://www.goodreads.com/book/show/61686006-sisters-of-the-lost-nation,Sisters of the Lost Nation,Nick Medina,Horror,English,3.88,"8,140","April 18, 2023",338,589,61.4k
359,358,https://www.goodreads.com/book/show/62699937-play-for-me,Play for Me,Libby Hubscher,Romance,English,3.68,"2,181","June 20, 2023",368,62,10.9k
360,361,https://www.goodreads.com/book/show/61898532-counterfeit-hope,Counterfeit Hope,Crystal Caudill,Historical Fiction,English,4.52,198,"February 14, 2023",328,10,568
361,361,https://www.goodreads.com/book/show/123414003-pucking-wild,Pucking Wild,Emily Rath,Romance,English,4.18,"47,456","August 21, 2023",603,"5,193",60.9k
362,361,https://www.goodreads.com/book/show/59948520-in-memoriam,In Memoriam,Alice Winn,Historical Fiction,English,4.52,"46,624","March 7, 2023",382,"3,591",112k
363,364,https://www.goodreads.com/book/show/62898458-the-choice,The Choice,Ashley Jade,Romance,English,4.35,"11,168","January 19, 2023",370,"2,001",16.5k
364,364,https://www.goodreads.com/book/show/62315603-the-23rd-midnight,The 23rd Midnight,James Patterson,Mystery,English,4.36,"33,035","March 2, 2023",352,"3,743",19.9k
365,364,https://www.goodreads.com/book/show/60784812-western-lane,Western Lane,Chetna Maroo,Fiction,English,3.50,"9,034","February 7, 2023",160,354,13.9k
366,364,https://www.goodreads.com/book/show/63843397-role-playing,Role Playing,Cathy Yardley,Romance,English,3.93,"13,602","July 1, 2023",331,"2,684",31.7k
367,368,https://www.goodreads.com/book/show/62713034-the-valkyrie,The Valkyrie,Kate Heartfield,Fantasy,English,3.46,975,"January 1, 2023",314,81,"6,508"
368,369,https://www.goodreads.com/book/show/57840627-the-things-we-do-to-our-friends,The Things We Do To Our Friends,Heather Darwent,Thriller,English,3.20,"7,430","January 10, 2023",336,412,45.9k
369,370,https://www.goodreads.com/book/show/62366772-beware-the-woman,Beware the Woman,Megan Abbott,Thriller,English,3.29,"14,037","May 30, 2023",320,948,30.6k
370,370,https://www.goodreads.com/book/show/45434033-sleep-no-more,Sleep No More,Seanan McGuire,Fantasy,English,4.35,"3,433","September 5, 2023",368,350,"5,820"
371,370,https://www.goodreads.com/book/show/65650229-wellness,Wellness,Nathan Hill,Fiction,English,3.99,"58,597","September 26, 2023",611,"8,365",143k
372,373,https://www.goodreads.com/book/show/58523626-y-n,Y/N,Esther Yi,Fiction,English,2.93,"7,304","March 21, 2023",204,610,25k
373,373,https://www.goodreads.com/book/show/62919719-fangirl-vol-3,"Fangirl, Vol. 3: The Manga",Rainbow Rowell,Manga,English,4.39,"4,898","August 8, 2023",224,48,"2,464"
374,375,https://www.goodreads.com/book/show/61235497-superbia,Superbia,Colette Rhodes,Fantasy,English,4.10,"4,242","March 1, 2023",265,370,"3,021"
375,375,https://www.goodreads.com/book/show/61884979-an-evil-heart,An Evil Heart,Linda Castillo,Mystery,English,4.22,"13,660","July 11, 2023",320,643,17.9k
376,375,https://www.goodreads.com/book/show/61745949-with-my-little-eye,With My Little Eye,Joshilyn Jackson,Thriller,English,3.32,"7,160","April 25, 2023",336,399,21.7k
377,375,https://www.goodreads.com/book/show/63329951-paved-paradise,Paved Paradise: How Parking Explains the World,Henry Grabar,Nonfiction,English,4.19,"3,908","May 9, 2023",368,765,11k
378,379,https://www.goodreads.com/book/show/62039263-deep-as-the-sky-red-as-the-sea,"Deep as the Sky, Red as the Sea",Rita Chang-Eppig,Historical Fiction,English,3.48,"4,640","May 30, 2023",281,480,44.2k
379,380,https://www.goodreads.com/book/show/60864071-the-brightest-star,The Brightest Star,Gail Tsukiyama,Historical Fiction,English,3.49,"1,298","June 20, 2023",320,139,"9,541"
380,380,https://www.goodreads.com/book/show/123413720-the-night-eaters-vol-2,"The Night Eaters, Vol. 2: Her Little Reapers",Marjorie M. Liu,Horror,English,4.32,"1,261","October 3, 2023",272,42,"4,377"
381,382,https://www.goodreads.com/book/show/75593509-how-i-won-a-nobel-prize,How I Won a Nobel Prize,Julius Taranto,Fiction,English,3.56,"1,224","September 12, 2023",304,128,"7,341"
382,383,https://www.goodreads.com/book/show/62991523-silk-malice,Silk Malice,Eve Dangerfield,Reverse Harem,English,4.00,775,"January 31, 2023",324,96,932
383,384,https://www.goodreads.com/book/show/61358640-old-god-s-time,Old God's Time,Sebastian Barry,Fiction,English,3.83,"15,248","February 28, 2023",261,"1,973",21.1k
384,385,https://www.goodreads.com/book/show/62710608-business-or-pleasure,Business or Pleasure,Rachel Lynn Solomon,Romance,English,3.75,"29,888","July 4, 2023",352,948,60.4k
385,386,https://www.goodreads.com/book/show/65974986-legacy,Legacy,Sheridan Anne,Reverse Harem,English,4.44,"1,798","March 14, 2023",332,226,925
386,387,https://www.goodreads.com/book/show/75293479-the-gentleman-s-gambit,The Gentleman's Gambit,Evie Dunmore,Romance,English,3.66,"14,852","December 5, 2023",432,"1,040",35k
387,387,https://www.goodreads.com/book/show/61356467-spice-road,Spice Road,Maiya Ibrahim,Fantasy,English,3.70,"5,403","January 24, 2023",464,401,38.8k
388,389,https://www.goodreads.com/book/show/64821637-better-hate-than-never,Better Hate than Never,Chloe Liese,Romance,English,3.66,"15,439","October 10, 2023",366,519,31k
389,389,https://www.goodreads.com/book/show/63318189-forgery,Forgery,Tate James,Romance,English,4.24,"3,304","June 1, 2023",284,390,"1,748"
390,391,https://www.goodreads.com/book/show/62039277-august-blue,August Blue,Deborah Levy,Fiction,English,3.67,"9,100","May 4, 2023",208,571,26.9k
391,392,https://www.goodreads.com/book/show/60846802-back-in-a-spell,Back in a Spell,Lana Harper,Romance,English,3.71,"8,461","January 3, 2023",320,302,27.2k
392,393,https://www.goodreads.com/book/show/61885111-rubi-ramos-s-recipe-for-success,Rubi Ramos's Recipe for Success,Jessica Parra,Romance,English,3.75,860,"May 16, 2023",320,28,10.4k
393,394,https://www.goodreads.com/book/show/62060274-the-echo-of-old-books,The Echo of Old Books,Barbara Davis,Historical Fiction,English,4.28,"99,352","March 28, 2023",431,30.2k,170k
394,395,https://www.goodreads.com/book/show/62207006-roaming,Roaming,Jillian Tamaki,Graphic Novels,English,3.76,"4,898","September 1, 2023",443,78,"6,809"
395,396,https://www.goodreads.com/book/show/61087733-iris-kelly-doesn-t-date,Iris Kelly Doesn't Date,Ashley Herring Blake,Romance,English,4.13,"34,492","October 24, 2023",400,"1,502",56.2k
396,397,https://www.goodreads.com/book/show/60784588-murder-at-haven-s-rock,Murder at Haven's Rock,Kelley Armstrong,Mystery,English,4.10,"7,320","February 21, 2023",352,508,12.3k
397,398,https://www.goodreads.com/book/show/60879772-the-backup-plan,The Backup Plan,Jill Shalvis,Romance,English,4.03,"6,116","January 17, 2023",384,595,"9,992"
398,399,https://www.goodreads.com/book/show/59708993-the-celebrants,The Celebrants,Steven Rowley,Fiction,English,3.63,"46,848","May 30, 2023",336,"4,911",111k
399,399,https://www.goodreads.com/book/show/75668288-the-hurricane-wars,The Hurricane Wars,Thea Guanzon,Fantasy,English,3.67,"29,558","October 3, 2023",472,"4,010",168k
400,399,https://www.goodreads.com/book/show/65212043-brainwyrms,Brainwyrms,Alison Rumfitt,Horror,English,3.65,"3,411","October 5, 2023",304,168,12.6k
401,402,https://www.goodreads.com/book/show/62919847-the-reformatory,The Reformatory,Tananarive Due,Horror,English,4.46,"28,383","October 31, 2023",576,"3,721",126k
402,403,https://www.goodreads.com/book/show/61884779-the-salt-grows-heavy,The Salt Grows Heavy,Cassandra Khaw,Horror,English,3.57,"21,118","May 2, 2023",106,943,60.5k
403,404,https://www.goodreads.com/book/show/78292425-huda-f-cares,Huda F Cares?,Huda Fahmy,Graphic Novels,English,4.21,"3,448","October 10, 2023",208,55,"6,992"
404,405,https://www.goodreads.com/book/show/62952152-my-murder,My Murder,Katie Williams,Mystery,English,3.65,"28,316","June 6, 2023",304,"1,488",64.1k
405,406,https://www.goodreads.com/book/show/57915993-blood-over-bright-haven,Blood Over Bright Haven,M.L. Wang,Fantasy,English,4.44,"16,796","July 25, 2023",527,"2,854",119k
406,406,https://www.goodreads.com/book/show/65211796-gator-country,"Gator Country: Deception, Danger, and Alligators in the Everglades",Rebecca Renner,Nonfiction,English,3.80,"2,303","November 14, 2023",288,402,"7,380"
407,408,https://www.goodreads.com/book/show/63212931-the-husband-hoax,The Husband Hoax,Saxon James,M M Romance,English,4.04,"8,866","February 9, 2023",284,"1,252","4,211"
408,408,https://www.goodreads.com/book/show/60784841-she-is-a-haunting,She Is a Haunting,Trang Thanh Tran,Horror,English,3.38,"9,025","February 28, 2023",352,817,57.9k
409,410,https://www.goodreads.com/book/show/122765800-murder-at-the-willows,Murder at the Willows,Jane A. Adams,Cozy Mystery,English,4.49,"1,283","February 15, 2023",305,391,128
410,410,https://www.goodreads.com/book/show/60784806-the-angel-maker,The Angel Maker,Alex North,Thriller,English,3.44,"12,917","February 28, 2023",336,769,34.8k
411,410,https://www.goodreads.com/book/show/60197314-betting-on-you,Betting on You,Lynn Painter,Romance,English,4.10,"89,406","November 28, 2023",432,"4,743",169k
412,413,https://www.goodreads.com/book/show/61447882-my-father-s-house,My Father's House,Joseph O'Connor,Historical Fiction,English,4.04,"7,447","January 26, 2023",276,"1,283","9,072"
413,413,https://www.goodreads.com/book/show/61884842-the-deep-sky,The Deep Sky,Yume Kitasei,Science Fiction,English,3.69,"9,222","July 18, 2023",399,714,72.4k
414,415,https://www.goodreads.com/book/show/60316954-hunted,Hunted,Skye Melki-Wegner,Middle Grade,English,3.95,372,"April 4, 2023",285,47,620
415,416,https://www.goodreads.com/book/show/61124074-the-malevolent-seven,The Malevolent Seven,Sebastien de Castell,Fantasy,English,4.02,"4,801","May 11, 2023",384,570,10.1k
416,416,https://www.goodreads.com/book/show/63287436-heart-of-my-monster,Heart of My Monster,Rina Kent,Romance,English,4.24,"39,113","April 6, 2023",322,"1,807",22.1k
417,418,https://www.goodreads.com/book/show/61294697-the-sweet-spot,The Sweet Spot,Amy Poeppel,Fiction,English,3.92,"13,500","January 31, 2023",400,706,28.1k
418,418,https://www.goodreads.com/book/show/61891504-coercion,Coercion,Amelia Wilde,Romance,English,4.34,957,"January 10, 2023",230,149,654
419,418,https://www.goodreads.com/book/show/60880793-good-for-a-girl,Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,Nonfiction,English,4.47,"15,078","January 10, 2023",288,747,18.7k
420,418,https://www.goodreads.com/book/show/61327505-the-disappeared,The Disappeared: Stories,Andrew Porter,Short Stories,English,4.26,606,"April 11, 2023",240,44,"6,511"
421,418,https://www.goodreads.com/book/show/127152907-in-the-likely-event,In the Likely Event,Rebecca Yarros,Fiction,English,4.21,"150,966","August 1, 2023",348,21.9k,169k
422,418,https://www.goodreads.com/book/show/61678536-mastering-the-art-of-french-murder,Mastering the Art of French Murder,Colleen Cambridge,Mystery,English,3.64,"8,833","April 25, 2023",304,"1,030",35.5k
423,418,https://www.goodreads.com/book/show/62365905-we-could-be-so-good,We Could Be So Good,Cat Sebastian,Romance,English,4.28,"13,791","June 6, 2023",384,648,45.4k
424,425,https://www.goodreads.com/book/show/65413847-the-arcadian-incident,The Arcadian Incident,Andrew Stickland,Science Fiction,English,4.40,25,"January 9, 2023",368,7,73
425,425,https://www.goodreads.com/book/show/62052321-titanium-noir,Titanium Noir,Nick Harkaway,Science Fiction,English,4.03,"7,420","May 16, 2023",236,523,11.5k
426,425,https://www.goodreads.com/book/show/61492455-unlikeable-female-characters,Unlikeable Female Characters: The Women Pop Culture Wants You to Hate,Anna Bogutskaya,Nonfiction,English,3.71,"2,727","May 9, 2023",340,441,15.8k
427,425,https://www.goodreads.com/book/show/120730295-vol-1,気になってる人が男じゃなかった VOL.1,Sumiko Arai,Manga,Japanese,4.60,"6,917","April 19, 2023",180,433,"6,027"
428,425,https://www.goodreads.com/book/show/60759266-this-time-it-s-real,This Time It's Real,Ann Liang,Romance,English,4.02,"20,560","February 7, 2023",352,832,51k
429,430,https://www.goodreads.com/book/show/61419120-last-violent-call,Last Violent Call,Chloe Gong,Fantasy,English,4.23,"11,118","February 28, 2023",240,446,28.6k
430,430,https://www.goodreads.com/book/show/63251402-did-i-ever-tell-you-this,Did I Ever Tell You This?,Sam Neill,Nonfiction,English,4.05,"5,140","March 21, 2023",398,575,"5,698"
431,430,https://www.goodreads.com/book/show/201871211-god-of-fury,God of Fury,Rina Kent,M M Romance,English,4.49,"77,956","December 6, 2023",510,"6,276",28.9k
432,433,https://www.goodreads.com/book/show/61358592-rook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
433,433,https://www.goodreads.com/book/show/61812427-love-pamela,"Love, Pamela",Pamela Anderson,Nonfiction,English,3.80,"35,000","January 31, 2023",256,"1,575",47.4k
434,433,https://www.goodreads.com/book/show/60784619-begin-again,Begin Again,Emma Lord,Romance,English,3.70,"12,339","January 24, 2023",352,519,46.5k
435,433,https://www.goodreads.com/book/show/75498179-the-list,The List,Yomi Adegoke,Fiction,English,3.03,"33,603","October 3, 2023",336,"2,873",50.8k
436,437,https://www.goodreads.com/book/show/61955800-on-the-meaning-of-sex,On the Meaning of Sex: Thoughts about the New Definition of Woman,Kajsa Ekis Ekman,Feminism,English,4.26,39,"February 7, 2023",380,5,428
437,437,https://www.goodreads.com/book/show/58248706-the-marriage-act,The Marriage Act,John Marrs,Thriller,English,3.81,"27,258","January 19, 2023",497,"2,127",62k
438,439,https://www.goodreads.com/book/show/77602023-liars-like-us,Liars Like Us,J.T. Geissinger,Romance,English,4.01,"24,539","May 25, 2023",354,"4,728",21k
439,439,https://www.goodreads.com/book/show/62649010-house-of-roots-and-ruin,House of Roots and Ruin,Erin A. Craig,Fantasy,English,4.14,"14,790","July 25, 2023",544,911,51.2k
440,439,https://www.goodreads.com/book/show/123008168-my-dark-romeo,My Dark Romeo,Parker S. Huntington,Romance,English,3.76,"96,802","March 12, 2023",366,13.3k,130k
441,439,https://www.goodreads.com/book/show/78311985-a-shining,A Shining,Jon Fosse,Fiction,English,3.49,"8,749","January 1, 2023",56,319,"9,032"
442,443,https://www.goodreads.com/book/show/59441717-a-witch-s-guide-to-fake-dating-a-demon,A Witch's Guide to Fake Dating a Demon,Sarah Hawley,Romance,English,3.64,"41,575","March 7, 2023",367,"2,496",84.6k
443,443,https://www.goodreads.com/book/show/57696191-the-book-spy,The Book Spy,Alan Hlad,Historical Fiction,English,4.17,"5,349","January 24, 2023",408,942,34.2k
444,443,https://www.goodreads.com/book/show/123219460-the-cursed,The Cursed,Harper L. Woods,Fantasy,English,3.63,"29,803","September 7, 2023",324,"4,593",47.1k
445,446,https://www.goodreads.com/book/show/63874606-the-sacrifice,The Sacrifice,Shantel Tessier,Romance,English,4.31,"92,461","April 6, 2023",644,13k,107k
446,446,https://www.goodreads.com/book/show/61295517-lassiter,Lassiter,J.R. Ward,Paranormal,English,4.23,"8,822","April 11, 2023",468,"1,593",19.9k
447,448,https://www.goodreads.com/book/show/63018216-a-chateau-under-siege,A Chateau Under Siege,Martin Walker,Mystery,English,4.08,"4,307","June 8, 2023",320,486,"3,372"
448,448,https://www.goodreads.com/book/show/123285511-the-exchange,The Exchange,John Grisham,Fiction,English,3.68,"87,755","October 17, 2023",338,12.8k,69.2k
449,450,https://www.goodreads.com/book/show/60420674-is-it-hot-in-here-or-am-i-suffering-for-all-eternity-for-the-sins-i-com,Is It Hot in Here? Or Am I Suffering for All Eternity for the Sins I Committed on Earth?,Zach Zimmerman,Nonfiction,English,3.62,"2,145","April 18, 2023",148,114,"6,770"
450,450,https://www.goodreads.com/book/show/105733384-woven-by-gold,Woven by Gold,Elizabeth Helen,Fantasy,English,4.09,"32,412","June 13, 2023",580,"3,950",27.8k
451,450,https://www.goodreads.com/book/show/125274093-carnage,Carnage,Shantel Tessier,Dark,English,4.31,"57,937","October 30, 2023",628,10k,71.4k
